Class,Number of files,Group1,Group2
violin,1502,string,violin-like
viola,974,string,violin-like
tuba,972,wind,trumpet-like
bass-clarinet,944,wind,flute-like
cello,889,string,violin-like
flute,878,wind,flute-like
double-bass,852,string,violin-like
clarinet,846,wind,flute-like
trombone,831,wind,trumpet-like
saxophone,733,wind,trumpet-like
bassoon,720,wind,flute-like
contrabassoon,710,wind,flute-like
english-horn,691,wind,flute-like
french-horn,652,wind,trumpet-like
oboe,596,wind,flute-like
trumpet,485,wind,trumpet-like
guitar,106,string,guitar-like
mandolin,80,string,guitar-like
banjo,74,string,guitar-like
bass-drum,18,percussion,drum-like
snare-drum,12,percussion,drum-like
tambourine,11,percussion,drum-like
clash-cymbals,7,percussion,cymbals-like
spring-coil,5,percussion,cymbals-like
triangle,5,percussion,cymbals-like
castanets,4,percussion,cymbals-like
Chinese-hand-cymbals,4,percussion,cymbals-like
cowbell,4,percussion,cymbals-like
djundjun,4,percussion,drum-like
guiro,4,percussion,cymbals-like
sleigh-bells,4,percussion,cymbals-like
surdo,4,percussion,drum-like
suspended-cymbal,4,percussion,cymbals-like
tam-tam,4,percussion,drum-like
whip,4,percussion,cymbals-like
bell-tree,3,percussion,cymbals-like
djembe,3,percussion,drum-like
lemon-shaker,3,percussion,cymbals-like
swanee-whistle,3,wind,flute-like
Thai-gong,3,percussion,cymbals-like
train-whistle,3,wind,flute-like
vibraslap,3,percussion,cymbals-like
washboard,3,percussion,drum-like
agogo-bells,2,percussion,cymbals-like
banana-shaker,2,percussion,cymbals-like
cabasa,2,percussion,cymbals-like
Chinese-cymbal,2,percussion,cymbals-like
flexatone,2,percussion,cymbals-like
ratchet,2,percussion,cymbals-like
sheeps-toenails,2,percussion,cymbals-like
strawberry-shaker,2,percussion,cymbals-like
tenor-drum,2,percussion,drum-like
tom-toms,2,percussion,drum-like
woodblock,2,percussion,drum-like
motor-horn,1,wind,flute-like
sizzle-cymbal,1,percussion,cymbals-like
squeaker,1,percussion,cymbals-like
wind-chimes,1,percussion,cymbals-like